date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:21	57333/57333	---MCZ	200	added ('OK')	text/css	etag:W/%225e39dcac-dff5%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/main.css)
12:25:23	4544/4544	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2012:28:04%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-3.html	lmpixels.com/demo/breezycv/darkfw/1/portfolio-3.html	(from https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-1.html)
12:25:24	4544/4544	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2012:27:54%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-2.html	lmpixels.com/demo/breezycv/darkfw/1/portfolio-2.html	(from https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-1.html)
12:25:25	477597/477597	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-7499d%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/full/1.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/full/1.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-1.html)
12:25:26	431406/431406	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-6952e%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/full/2.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/full/2.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-1.html)
12:25:27	496614/496614	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-793e6%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/full/3.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/full/3.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/portfolio-1.html)
12:25:28	144212/144212	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-23354%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_1_full.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/blog/blog_post_1_full.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/blog-post-1.html)
12:25:29	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20May%202015%2002:30:30%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free.eot?w118d	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css)
12:25:30	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20May%202015%2002:30:30%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free.eot?	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Freed41d.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css)
12:25:30	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%22556137cc-5514%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free.woff2?w118d	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.woff2	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css)
12:25:31	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22556137c6-d990%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free.woff?w118d	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.woff	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css)
12:25:32	55620/55620	---M--	200	added ('OK')	application/octet-stream	etag:%22556137c6-d944%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free.ttf?w118d	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.ttf	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css)
12:25:34	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22556137c6-32417%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free.svg?w118d	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.svg	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/linear-icons-font/style.css)
12:25:35	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.eot	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:36	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.eot?	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400d41d.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:36	76548/76548	---M--	200	added ('OK')	font/woff2	etag:%225e39dcac-12b04%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.woff2	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.woff2	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:37	89824/89824	---M--	200	added ('OK')	font/woff	etag:%225e39dcac-15ee0%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.woff	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.woff	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:39	132728/132728	---M--	200	added ('OK')	application/octet-stream	etag:%225e39dcac-20678%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.ttf	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.ttf	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:40	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e39dcac-aec72%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.svg	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-brands-400.svg	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:41	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.eot	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:42	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.eot?	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400d41d.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:42	13600/13600	---M--	200	added ('OK')	font/woff2	etag:%225e39dcac-3520%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff2	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff2	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:43	16800/16800	---M--	200	added ('OK')	font/woff	etag:%225e39dcac-41a0%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.woff	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:44	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%225e39dcac-852c%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.ttf	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.ttf	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:46	144322/144322	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e39dcac-233c2%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.svg	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-regular-400.svg	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:47	194078/194078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.eot	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:48	194078/194078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.eot?	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900d41d.eot	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
12:25:48	76120/76120	---M--	200	added ('OK')	font/woff2	etag:%225e39dcac-12958%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.woff2	lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/webfonts/fa-solid-900.woff2	(from https://lmpixels.com/demo/breezycv/darkfw/1/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css)
